age,qualification_Graduate,qualification_Matriculant,qualification_Post Graduate,programming_A little,programming_A lot,programming_Ninja level,programming_None,Sex_Female,Sex_Male,Maths_AVG,Maths_DIST,Maths_LOW,Maths_NA,personality_Extrovert,personality_Introvet,Aptitude Score,Logic Test Score %,Interview Score,score
27,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0.8,0.89,8,687
34,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0.77,0.8,8,599
26,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0.87,0.75,10,804
23,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0.73,0.9,8,792
28,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0.75,0.61,6,488
22,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0.8,0.69,10,567
24,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0.73,0.97,9,488
22,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0.47,0.737704918,8,581
23,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0.53,0.66,9,739
18,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0.53,0.590163934,10,526
29,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0.73,0.67,7,490
23,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0.73,0.79,6,658
20,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0.67,0.93,9,677
23,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0.92,0.95,6,590
22,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0.47,0.819672131,8,639
25,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0.67,0.92,9,627
23,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0.53,0.89,9,648
22,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0.67,0.62295082,8,470
20,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0.87,0.885245902,10,710
25,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0.6,0.524590164,9,496
25,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0.8,0.9,9,779
25,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0.67,0.84,10,521
23,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0.58,0.69,9,624
23,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0.73,0.9,9,669
22,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0.73,0.85,9,655
18,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0.73,0.51,9,508
23,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0.73,0.61,7,474
30,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0.73,0.82,6,537
31,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0.6,0.93442623,9,663
26,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0.6,0.84,9,662
23,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0.8,0.639344262,9,730
23,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0.67,0.87,8,615
22,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0.8,0.87,8,640
23,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0.8,0.56,10,703
20,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0.67,0.79,8,689
23,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0.77,0.75,9,635
34,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0.53,0.75,7,392
24,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0.53,0.737704918,9,667
23,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0.53,0.72,7,554
23,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0.6,0.74,9,563
25,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0.6,0.64,8,664
29,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0.67,0.82,8,665
35,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0.6,0.74,6,688
27,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0.6,0.51,9,492
33,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0.8,0.74,7,557
24,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0.6,0.8,8,415
22,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0.71,0.89,7,601
26,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0.73,0.52,8,431
26,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0.47,0.8,9,496
34,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0.6,0.8,8,627
26,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0.6,0.77,8,525
26,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0.6,0.93,9,681
25,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0.53,0.84,7,581
25,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0.6,0.61,7,538
28,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0.6,0.64,10,537
19,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0.9,0.9,7,630
26,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0.6,0.67,6,442
27,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0.67,0.66,9,632
33,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0.53,0.57,9,688
22,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0.6,0.672131148,7,625
22,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0.6,0.85,9,460
24,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0.8,0.93,8,686
24,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0.53,0.77,6,483
25,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0.73,0.69,9,570
26,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0.67,0.77,8,714
20,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0.6,0.87,9,626
24,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0.79,0.9,8,717
22,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0.67,0.82,9,678
26,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0.75,0.8,6,691
35,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0.67,0.819672131,9,537
28,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0.6,0.9,8,593
24,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0.8,0.93442623,8,674
35,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,1,0.9,9,710
24,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0.67,0.87,8,527
21,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0.53,0.61,8,687
27,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0.67,0.82,8,678
26,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0.8,0.79,8,622
23,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0.47,0.62295082,9,585
24,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0.8,0.89,10,766
23,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0.6,0.67,9,649
20,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0.8,0.89,7,627
23,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0.53,0.7,6,526
22,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0.6,0.66,8,697
24,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0.58,0.770491803,9,625
33,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0.93,0.95,9,707
24,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0.6,0.95,8,585
22,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0.71,0.85,8,578
26,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0.53,0.69,9,683
31,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0.67,0.84,8,470
34,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0.57,0.87,9,656
22,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0.8,0.9,8,618
23,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0.67,0.66,8,497
20,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0.73,0.819672131,9,699
33,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0.94,0.93,8,733
27,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0.93,0.87,9,720
24,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0.8,0.93,6,668
19,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0.8,0.41,6,513
